index:ID,actor,:LABEL
1044967,安德里娅·奥斯瓦特,person
1391571,萨拉亚-杰德·贝维斯,person
1443024,埃里克·格里斯,person
1374876,Joanna Dickens,person
1316001,托马斯·林平泽尔,person
1341157,康巢恩,person
1122695,斯滕·马特松,person
1348373,宣彤,person
1159923,帕特里夏·塔尔曼,person
1361136,艾哈迈德·艾哈迈德·波,person
1386145,陈宥维,person
1315172,吴启明,person
1406299,帕特里克·艾奇逊,person
1110030,弗拉基米尔·卡什普尔,person
1406309,布拉登·刘易斯,person
1364865,李珠英,person
1056316,阿吉特·库玛尔,person
1371929,詹姆斯·亚当斯,person
1396422,罗杰·金,person
1054512,詹妮弗·加纳,person
1150640,马里奥·托迪斯科,person
1135885,安尼巴莱·宁基,person
1413078,张敬平,person
1415821,耶夫·威尔布什,person
1005474,菲·贝克,person
1354680,李萌萌,person
1045056,兰斯·巴斯,person
1452072,赵婷婷,person
1043692,权海骁,person
1054776,克里麦·威斯特博克,person
1260774,Demetrius B. Banks,person
1344342,萨尔瓦多·阿布鲁齐斯,person
1324007,史蒂法纳·费伊,person
1031887,约翰·巴罗曼,person
1038708,北村弘一,person
1088028,奥兰·德马齐斯,person
1285386,Shon Greenblatt,person
1152278,Robert Toupin,person
1410444,闫夜桥,person
1344752,Tenzen Charka,person
1006975,玛丽·麦克科马克,person
1409725,玉野井直树,person
1359069,迈克尔·巴尔别里,person
1115001,George Lynn,person
1379500,郭一扬,person
1430010,龙吟,person
1353121,奥野瑛太,person
1344804,小马克索伦森,person
1345322,罗洛·斯金纳,person
1324010,莫里斯·贝尔布洛克,person
1293854,吉姆·帕尔默,person
1381676,郑启泰,person
1370755,斯特芬·马克尔,person
1417708,伍经纬,person
1350744,安娜斯塔西亚·哈罗德,person
1449978,杜芷萱,person
1212700,丽莎·汉尼根,person
1042150,石田彰,person
1049520,迈克尔·爱默生,person
1077591,Pascal Breuer,person
1124013,Cameron Miller,person
1239111,Michael Stone Forrest,person
1343203,项斌,person
1122173,吉娜·马斯特罗吉科莫,person
1234158,Fachry Albar,person
1041676,约翰·博尔斯,person
1426503,木村拓,person
1397180,章若楠,person
1025143,海顿·潘妮蒂尔,person
1379642,托卡拉·克利福德,person
1049661,亚当·威斯特,person
1122422,班特·梅杰汀,person
1095571,Winifred Harris,person
1322910,李小龙,person
